web-scraper-order,web-scraper-start-url,pagination-selector,image-src,priceCurrency,data,data2,data3,category
1758458180-25,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Protective-Sun-Lotion-SPF50-175ml-400x400.jpg,TND,42.650 TND,Lire la suite,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,Protection supérieure à SPF 50+
1758458180-37,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-mezo-collagene-creme-de-jour-red-algea-50ml-400x400.jpg,TND,55.620 TND,Lire la suite,LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,Visage
1758458177-20,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/02/lirene-acid-power-serum-hydratant-30ml-1-400x400.webp,TND,58.650 TND,Ajouter au panier,LIRENE Acid Power Serum Hydratant A L’hydrolat de Bleuet 30ml,hydratants toutes peaux
1758458177-3,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/01/lirene-ce-vitamin-energy-mousse-nettoyante-visage-hydratante-150-ml-1-400x400.jpg,TND,35.000 TND,Ajouter au panier,LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,"Lait, mousse, émulsion"
1758458177-3,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2023/01/lirene-ce-vitamin-energy-mousse-nettoyante-visage-hydratante-150-ml-1-400x400.jpg,TND,35.000 TND,Ajouter au panier,LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,"Lait, mousse, émulsion"
1758458180-37,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/lirene-mezo-collagene-creme-de-jour-red-algea-50ml-400x400.jpg,TND,55.620 TND,Lire la suite,LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,Visage
1758458180-48,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Mousse-Nettoyante-Tout-Type-De-Peau-150ml-maparatunisie-400x400.jpg,TND,23.600 TND,Lire la suite,LIRENE Mousse Nettoyante Tout Type De Peau 150ml,"Démaquillants, nettoyants visage"
1758458180-34,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-chaussettes-delicate-and-smooth-3-urea-400x400.jpg,TND,28.560 TND,Lire la suite,LIRENE CHAUSSETTES DELICATE AND SMOOTH 3% UREA,Soins Spécifiques
1758458183-58,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Creme-Lissante-Aux-Amandes-50ml-400x400.jpg,TND,35.700 TND,Lire la suite,LIRENE Crème Lissante Aux Amandes 50ml,Soins hydratants et nourrissants
1758458177-10,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/LIRENE-Lactima-Duo-Forte-Gel-Intime-300-Ml-maparatunisie-400x400.jpg,TND,27.750 TND,Ajouter au panier,LIRENE Lactima Duo Forte+ Gel Intime 300 ml,Toilette intime
1758458177-18,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/06/lirene-bb-creme-hydratante-spf50-02-nude-400x400.jpg,TND,35.700 TND,Ajouter au panier,Lirene BB Crème Hydratante SPF50 02 – Nude 30ml,BB crème
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
